split,factor,horizon,train_start,train_end,test_start,test_end,embargo_hours,n_timestamps,n_observations,coverage,n_periods,mean_ic,median_ic,ic_std,icir,positive_rate,t_stat,naive_p_value,HAC_t_stat,HAC_p_value,HAC_lag,raw_p_value,status,test
test_oos,holder_acceleration,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,holder_concentration,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,holder_concentration,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,holder_liquidity_interaction,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,holder_liquidity_interaction,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,rank_change,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,rank_change,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,rank_momentum,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,rank_momentum,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,attention_shock,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,attention_shock,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,token_age_days,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,token_age_days,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,audit_score,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,audit_score,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,chain_volume_breadth,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,53,432,0.5538461538461539,53,-0.08879245659132268,-0.11180339887498948,0.3739426854066451,-1.7286575364378347,0.3584905660377358,-1.7286575364378347,0.08980439660890546,-2.420709601125784,0.015490246302894964,24,0.015490246302894964,computed,time_oos
test_oos,chain_volume_breadth,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,56,4014,0.5987470167064439,56,0.1296779305176475,0.14550994937547745,0.16159310049728579,6.005335439814321,0.7678571428571429,6.00533543981432,1.5772500854187495e-07,2.0316605859689436,0.04218802863083938,24,0.04218802863083938,computed,time_oos
train,market_vol_regime,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,55,443,0.5679487179487179,55,-0.1340233633994607,-0.10687334289668038,0.34470821906577687,-2.883435351707959,0.3090909090909091,-2.883435351707959,0.005637499238370864,-3.9431643643433554,8.04135029557043e-05,24,8.04135029557043e-05,computed,time_oos
test_oos,market_vol_regime,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,56,4014,0.5987470167064439,56,-0.05503110391656512,-0.04365207751875293,0.09561397705903416,-4.307059340175934,0.2857142857142857,-4.307059340175934,6.877688291340721e-05,-2.5198939215461142,0.011739020580454704,24,0.011739020580454704,computed,time_oos
